Wall time,Step,Value
1678877443.9180129,172,6.257882595062256
1678877450.5724173,244,6.217424392700195
1678877451.9711342,259,6.21077299118042
1678877465.6205885,402,6.096887588500977
1678877471.1825075,465,6.132748126983643
1678877475.8023124,510,6.12813138961792
1678877480.1222699,556,6.128347873687744
1678877484.2760773,596,6.095038890838623
1678877489.560759,658,6.040452003479004
1678877502.7402291,804,6.081316947937012
1678877523.0443454,1026,6.023303508758545
1678877523.9153428,1037,6.007071018218994
1678877532.064144,1132,6.007429599761963
1678877536.8384647,1184,5.952895641326904
1678877544.2233148,1271,5.996809959411621
1678877556.9763315,1417,6.02976131439209
1678877561.0511909,1458,5.931396484375
1678877564.0667999,1494,5.972191333770752
1678877565.4068367,1510,5.963444709777832
1678877568.3423538,1548,5.96773624420166
1678877570.500485,1565,5.986811637878418
1678877580.3134983,1670,6.012540817260742
1678877605.6136167,1940,5.939698219299316
1678877607.3560677,1960,5.954068183898926
1678877650.2751467,2436,5.859458923339844
1678877650.6515915,2441,5.932506561279297
1678877652.4509695,2462,5.894633769989014
1678877655.9214032,2503,5.9002509117126465
1678877662.7853951,2577,5.916309833526611
1678877668.7394288,2643,5.906041622161865
1678877672.3707116,2684,5.849022388458252
1678877673.0752075,2693,5.862778663635254
1678877674.219477,2708,5.866413593292236
1678877675.6330614,2717,5.901334762573242
1678877680.1787822,2768,5.866938591003418
1678877698.3807397,2973,5.871294021606445
1678877708.529713,3083,5.806826114654541
1678877710.768251,3104,5.86098575592041
1678877710.8735278,3105,5.850472927093506
1678877714.4544544,3145,5.906262397766113
1678877723.0210557,3241,5.864870071411133
1678877724.898233,3265,5.847345352172852
1678877733.304252,3356,5.84257698059082
1678877747.1669366,3500,5.840029716491699
1678877752.6494622,3566,5.803271770477295
1678877756.237041,3600,5.8205790519714355
1678877757.576682,3616,5.852875232696533
1678877760.7727678,3654,5.863216400146484
1678877761.8944407,3668,5.802361011505127
1678877762.1216335,3671,5.8820366859436035
1678877778.4973974,3848,5.842739582061768
1678877785.025077,3915,5.837568759918213
1678877795.0599148,4023,5.813499927520752
1678877803.3366992,4109,5.807967185974121
1678877804.3582528,4121,5.8200273513793945
1678877810.3325775,4181,5.828370094299316
1678877811.340075,4192,5.816214084625244
