Wall time,Step,Value
1678877436.9865947,0,6.503164768218994
1678877445.6711094,1,6.305588245391846
1678877454.5267756,2,6.237215042114258
1678877463.5257113,3,6.173539638519287
1678877472.8297133,4,6.128221035003662
1678877482.3104153,5,6.098209381103516
1678877491.0790336,6,6.075798511505127
1678877499.8390253,7,6.053251266479492
1678877508.405206,8,6.035438537597656
1678877517.1877499,9,6.026774883270264
1678877526.2649617,10,6.010456085205078
1678877534.4565706,11,6.004499912261963
1678877542.7167897,12,5.992668628692627
1678877551.0860317,13,5.988222599029541
1678877560.12825,14,5.97067403793335
1678877568.6889284,15,5.961380481719971
1678877577.613918,16,5.9536871910095215
1678877586.9428213,17,5.945374965667725
1678877595.7284255,18,5.944847583770752
1678877604.8950744,19,5.934429168701172
1678877613.4858055,20,5.933079719543457
1678877622.2505655,21,5.917730331420898
1678877631.1673048,22,5.906774997711182
1678877639.757687,23,5.901765823364258
1678877648.6167347,24,5.8926591873168945
1678877657.3544116,25,5.891881465911865
1678877666.1319523,26,5.889690399169922
1678877674.8829455,27,5.884227275848389
1678877683.5997388,28,5.876597881317139
1678877692.256035,29,5.87084436416626
1678877700.9908996,30,5.865539073944092
1678877710.1340098,31,5.859210968017578
1678877719.07928,32,5.854157447814941
1678877727.650821,33,5.853321075439453
1678877736.5013022,34,5.84160041809082
1678877745.676858,35,5.838677883148193
1678877754.4938767,36,5.835848331451416
1678877763.2612326,37,5.82708215713501
1678877772.1405282,38,5.832699775695801
1678877781.1853838,39,5.820245742797852
1678877790.1138043,40,5.823482513427734
1678877799.4121857,41,5.826233863830566
1678877808.6062934,42,5.817889213562012
1678877817.889861,43,5.815306663513184
1678877827.161109,44,5.805878162384033
1678877835.6704452,45,5.804005146026611
1678877844.6603289,46,5.808651447296143
1678877854.009372,47,5.803656101226807
1678877863.092142,48,5.798875331878662
1678877872.1590846,49,5.792410373687744
1678877881.2725425,50,5.791538715362549
1678877890.4401374,51,5.786900520324707
1678877899.3581924,52,5.786931037902832
1678877908.3544557,53,5.783807277679443
1678877916.9498577,54,5.782598972320557
1678877925.7743802,55,5.777238845825195
1678877934.6422663,56,5.778128147125244
1678877943.2155366,57,5.775979995727539
1678877951.9573832,58,5.771135330200195
1678877961.092212,59,5.772645473480225
1678877970.1653612,60,5.770202159881592
1678877979.267784,61,5.767442226409912
1678877988.123826,62,5.768279075622559
1678877997.4990191,63,5.766333103179932
