Wall time,Step,Value
1678877436.986631,0,0.0003000000142492354
1678877445.6711438,1,0.0002999815042130649
1678877454.5268152,2,0.00029992597410455346
1678877463.525745,3,0.00029983348213136196
1678877472.8297472,4,0.00029970399918965995
1678877482.3104498,5,0.0002995376125909388
1678877491.0790749,6,0.00029933429323136806
1678877499.8390625,7,0.00029909415752626956
1678877508.405239,8,0.0002988172054756433
1678877517.187782,9,0.00029850355349481106
1678877526.2650046,10,0.0002981532597914338
1678877534.4566033,11,0.0002977664116770029
1678877542.7168243,12,0.0002973430964630097
1678877551.0860622,13,0.00029688343056477606
1678877560.1282864,14,0.0002963875012937933
1678877568.6889617,15,0.00029585548327304423
1678877577.6139493,16,0.00029528746381402016
1678877586.9428518,17,0.00029468361753970385
1678877595.7284603,18,0.0002940440608654171
1678877604.8951106,19,0.00029336893931031227
1678877613.485849,20,0.00029265848570503294
1678877622.2505956,21,0.00029191281646490097
1678877631.167334,22,0.0002911321062128991
1678877639.7577162,23,0.0002903166168835014
1678877648.6167696,24,0.00028946646489202976
1678877657.3544488,25,0.0002885819412767887
1678877666.1319826,26,0.00028766319155693054
1678877674.8829782,27,0.00028671047766692936
1678877683.5997694,28,0.0002857240615412593
1678877692.256073,29,0.0002847041469067335
1678877700.9909403,30,0.0002836509665939957
1678877710.134043,31,0.00028256484074518085
1678877719.079311,32,0.00028144600219093263
1678877727.6508594,33,0.00028029471286572516
1678877736.5013332,34,0.00027911129291169345
1678877745.6768892,35,0.0002778960333671421
1678877754.4939117,36,0.00027664919616654515
1678877763.2612634,37,0.0002753711014520377
1678877772.1405604,38,0.0002740620984695852
1678877781.1854227,39,0.00027272244915366173
1678877790.113845,40,0.00027135256095789373
1678877799.4122207,41,0.0002699526958167553
1678877808.6063266,42,0.0002685232611838728
1678877817.8898916,43,0.00026706454809755087
1678877827.1611426,44,0.0002655769931152463
1678877835.6704772,45,0.00026406088727526367
1678877844.6603596,46,0.00026251666713505983
1678877854.0094035,47,0.0002609446528367698
1678877863.0921721,48,0.0002593452809378505
1678877872.1591158,49,0.0002577189588919282
1678877881.2725816,50,0.000256066006841138
1678877890.440168,51,0.00025438691955059767
1678877899.358231,52,0.0002526820753701031
1678877908.3544855,53,0.00025095188175328076
1678877916.9498878,54,0.00024919677525758743
1678877925.7744124,55,0.00024741722154431045
1678877934.6423013,56,0.00024561359896324575
1678877943.2155747,57,0.0002437864022795111
1678877951.9574132,58,0.0002419360534986481
1678877961.0922508,59,0.00024006303283385932
1678877970.1654005,60,0.00023816779139451683
1678877979.2678142,61,0.00023625079484190792
1678877988.1238556,62,0.0002343125088373199
1678877997.4990497,63,0.00023235342814587057
1678878006.500234,64,0.0002303740184288472
1678878015.4441752,65,0.00022837478900328279
1678878024.4471765,66,0.00022635620553046465
1678878034.1577358,67,0.00022431880643125623
1678878043.6171336,68,0.00022226305736694485
1678878052.7943826,69,0.0002201894676545635
1678878061.365845,70,0.0002180985757149756
1678878070.1283033,71,0.00021599087631329894
1678878079.2623355,72,0.00021386689331848174
1678878088.1590567,73,0.00021172715059947222
1678878097.3337798,74,0.00020957218657713383
1678878106.8909721,75,0.00020740251056849957
1678878116.0267847,76,0.00020521869009826332
1678878125.1081138,77,0.00020302121993154287
1678878133.9475815,78,0.00020081068214494735
1678878143.3608792,79,0.0001985876151593402
1678878152.4663057,80,0.00019635254284366965
1678878161.6284945,81,0.00019410604727454484
1678878170.7358928,82,0.0001918486668728292
1678878180.0628245,83,0.00018958095461130142
1678878189.71262,84,0.0001873034780146554
1678878198.8829641,85,0.00018501680460758507
1678878208.4153705,86,0.00018272148736286908
1678878217.8789542,87,0.00018041809380520135
1678878226.8826501,88,0.00017810719145927578
1678878236.2959096,89,0.0001757893624017015
1678878245.7586348,90,0.00017346517415717244
1678878255.0326154,91,0.00017113517969846725
1678878264.2009494,92,0.00016879999020602554
1678878273.3234732,93,0.00016646014410071075
1678878282.9270124,94,0.00016411625256296247
1678878292.2366526,95,0.0001617688685655594
1678878301.558344,96,0.00015941857418511063
1678878311.2759264,97,0.00015706596605014056
1678878320.4728405,98,0.0001547116116853431
1678878329.6986027,99,0.00015235609316732734
1678878339.1007204,100,0.0001500000071246177
1678878348.279031,101,0.00014764390652999282
1678878357.642931,102,0.00014528838801197708
